"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1164",3972200816,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4553185","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","AU","NT:Douglas Hot Springs","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-13.7655,131.4395,NA,NA,NA,NA,NA,NA,2011-12-06,6,12,2011,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01418235","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:21.208,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1165",3972186265,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4566654","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","NG","Ilorin:Kwara","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",8.4628,4.6673,NA,NA,NA,NA,NA,NA,2018-12-12,12,12,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01431608","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.842,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1166",3972186215,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4564674","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Itaoca","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-21.7902,-41.4365,NA,NA,NA,NA,NA,NA,2018-12-03,3,12,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01429628","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.835,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1167",3972186210,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4564476","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Mucuri","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-18.0999,-39.8913,NA,NA,NA,NA,NA,NA,2018-12-01,1,12,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01429432","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.834,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1168",3972186204,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4564179","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Lombardia","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-15.8762,-39.5321,NA,NA,NA,NA,NA,NA,2018-12-01,1,12,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01429135","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.834,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1169",3972186185,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4563387","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Sao Pedro","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-10.5932,-37.4904,NA,NA,NA,NA,NA,NA,2018-11-26,26,11,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01428344","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.832,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1170",3972186182,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4563233","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Petrolandia","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-8.73501,-38.4718,NA,NA,NA,NA,NA,NA,2018-11-26,26,11,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01428190","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:23:03.386,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1171",3972186181,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4563189","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Petrolandia","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-8.73501,-38.4718,NA,NA,NA,NA,NA,NA,2018-11-26,26,11,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01428146","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.831,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1172",3972186180,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4563170","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Floresta","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-8.6821,-38.8084,NA,NA,NA,NA,NA,NA,2018-11-26,26,11,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01428127","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:23:03.385,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
"1173",3972186175,"9f0e1ca6-fb08-4c72-9a4a-1e3b7a528c10","4562955","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus flavus","","UNRANKED","SH1082739.09FU","SH1082739.09FU","","BR","Quixada","","PRESENT",NA,"0870a77b-587c-4369-a8ed-bc3d347b8e1c",-4.8876,-39.0461,NA,NA,NA,NA,NA,NA,2018-11-25,25,11,2018,11554305,5259820,"MATERIAL_SAMPLE","","","UDB01427912","","",NA,"CC0_1_0","Liis Tiirmann","","",NA,2023-05-09 02:22:54.831,"","GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
